,0
comp1_rate_percent_diff,0.9809535314894258
comp6_rate_percent_diff,0.9806036164875108
comp1_rate,0.9758125036428471
comp1_inv,0.9738705258022482
comp4_rate_percent_diff,0.9735625602645398
comp7_rate_percent_diff,0.9720642786799714
comp6_rate,0.9515651082911301
comp6_inv,0.9473663299482671
comp4_rate,0.9380079691881186
comp7_rate,0.9364005786605899
comp4_inv,0.9306900061653611
comp7_inv,0.9281167695605007
comp3_rate_percent_diff,0.9046462460170698
comp2_rate_percent_diff,0.8878178554264153
comp8_rate_percent_diff,0.8760211820592629
comp5_rate_percent_diff,0.8303670557950059
comp3_rate,0.6905646176034069
comp3_inv,0.6670281446619206
comp8_rate,0.61344899822461
comp8_inv,0.5991601636593809
comp2_rate,0.5916639154137457
comp2_inv,0.5703671001646314
comp5_rate,0.5517915547257988
comp5_inv,0.5240308917467857
click_bool,0.0
booking_bool,0.0
